compound,geneid,description,symbol,uniprot_accession,uniprot_accessions
caffeine,81,actinin alpha 4,ACTN4,O43707,O43707;A0A0S2Z3G9;F5GXS2;H7C144
caffeine,86,actin like 6A,ACTL6A,O96019,O96019
caffeine,86,actin like 6A,ACTL6A,O96019,O96019
caffeine,87,actinin alpha 1,ACTN1,P12814,P12814;A0A024R694;A0A7I2V4Y4;A0A804HL31;A0A804HLF4;H9KV75
caffeine,87,actinin alpha 1,ACTN1,P12814,P12814;A0A024R694;A0A7I2V4Y4;A0A804HL31;A0A804HLF4;H9KV75
caffeine,100,adenosine deaminase,ADA,P00813,P00813;A0A0S2Z381;F5GWI4
caffeine,100,adenosine deaminase,ADA,P00813,P00813;A0A0S2Z381;F5GWI4
caffeine,100,adenosine deaminase,ADA,P00813,P00813;A0A0S2Z381;F5GWI4
caffeine,100,adenosine deaminase,ADA,P00813,P00813;A0A0S2Z381;F5GWI4
caffeine,103,adenosine deaminase RNA specific,ADAR,P55265,P55265;A0AAQ5BGH8
caffeine,103,adenosine deaminase RNA specific,ADAR,P55265,P55265;A0AAQ5BGH8
caffeine,104,adenosine deaminase RNA specific B1,ADARB1,P78563,P78563;A0A994J4V7;A0A994J7T5
caffeine,104,adenosine deaminase RNA specific B1,ADARB1,P78563,P78563;A0A994J4V7;A0A994J7T5
caffeine,111,adenylate cyclase 5,ADCY5,O95622,O95622;A0A384P5Q5;A0A8V8TP58;B3KWA8;B7Z2C7
caffeine,111,adenylate cyclase 5,ADCY5,O95622,O95622;A0A384P5Q5;A0A8V8TP58;B3KWA8;B7Z2C7
caffeine,113,adenylate cyclase 7,ADCY7,P51828,P51828;B3KSJ0;F5H4D1;Q86YI0
caffeine,113,adenylate cyclase 7,ADCY7,P51828,P51828;B3KSJ0;F5H4D1;Q86YI0
caffeine,115,adenylate cyclase 9,ADCY9,O60503,O60503
caffeine,115,adenylate cyclase 9,ADCY9,O60503,O60503
caffeine,118,adducin 1,ADD1,P35611,P35611;A0A804HL01
caffeine,118,adducin 1,ADD1,P35611,P35611;A0A804HL01
caffeine,120,adducin 3,ADD3,Q9UEY8,Q9UEY8;Q53FL4;Q59EK1;Q5VU08
caffeine,120,adducin 3,ADD3,Q9UEY8,Q9UEY8;Q53FL4;Q59EK1;Q5VU08
caffeine,123,perilipin 2,PLIN2,Q99541,Q99541;Q6FHZ7
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
caffeine,136,adenosine A2b receptor,ADORA2B,P29275,P29275
caffeine,140,adenosine A3 receptor,ADORA3,P0DMS8,P0DMS8;A0A0J9YWR0;H6VQ59
caffeine,140,adenosine A3 receptor,ADORA3,P0DMS8,P0DMS8;A0A0J9YWR0;H6VQ59
caffeine,140,adenosine A3 receptor,ADORA3,P0DMS8,P0DMS8;A0A0J9YWR0;H6VQ59
caffeine,140,adenosine A3 receptor,ADORA3,P0DMS8,P0DMS8;A0A0J9YWR0;H6VQ59
caffeine,140,adenosine A3 receptor,ADORA3,P0DMS8,P0DMS8;A0A0J9YWR0;H6VQ59
caffeine,140,adenosine A3 receptor,ADORA3,P0DMS8,P0DMS8;A0A0J9YWR0;H6VQ59
caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
caffeine,143,poly(ADP-ribose) polymerase family member 4,PARP4,Q9UKK3,Q9UKK3
caffeine,143,poly(ADP-ribose) polymerase family member 4,PARP4,Q9UKK3,Q9UKK3
caffeine,156,G protein-coupled receptor kinase 2,GRK2,P25098,P25098;A0A0S2Z392
caffeine,158,adenylosuccinate lyase,ADSL,P30566,P30566;A0A1B0GTG9;A0A1B0GWJ0;A0A7P0T8E4;A0A7P0Z472;X5D7W4;X5D8S6
caffeine,158,adenylosuccinate lyase,ADSL,P30566,P30566;A0A1B0GTG9;A0A1B0GWJ0;A0A7P0T8E4;A0A7P0Z472;X5D7W4;X5D8S6
caffeine,176,aggrecan,ACAN,P16112,P16112;A0A5K1VW97
caffeine,176,aggrecan,ACAN,P16112,P16112;A0A5K1VW97
caffeine,176,aggrecan,ACAN,P16112,P16112;A0A5K1VW97
caffeine,176,aggrecan,ACAN,P16112,P16112;A0A5K1VW97
caffeine,182,jagged canonical Notch ligand 1,JAG1,P78504,P78504;Q99740
caffeine,182,jagged canonical Notch ligand 1,JAG1,P78504,P78504;Q99740
caffeine,183,angiotensinogen,AGT,P01019,P01019;A0A7P0T8D1;B0ZBE2;B2R5S1
caffeine,183,angiotensinogen,AGT,P01019,P01019;A0A7P0T8D1;B0ZBE2;B2R5S1
caffeine,186,angiotensin II receptor type 2,AGTR2,P50052,P50052
caffeine,186,angiotensin II receptor type 2,AGTR2,P50052,P50052
caffeine,186,angiotensin II receptor type 2,AGTR2,P50052,P50052
caffeine,186,angiotensin II receptor type 2,AGTR2,P50052,P50052
caffeine,191,adenosylhomocysteinase,AHCY,P23526,P23526;A0A384MTQ3
caffeine,191,adenosylhomocysteinase,AHCY,P23526,P23526;A0A384MTQ3
caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
caffeine,208,AKT serine/threonine kinase 2,AKT2,P31751,P31751;B4DG79
caffeine,208,AKT serine/threonine kinase 2,AKT2,P31751,P31751;B4DG79
caffeine,213,albumin,ALB,P02768,P02768
caffeine,213,albumin,ALB,P02768,P02768
caffeine,213,albumin,ALB,P02768,P02768
caffeine,213,albumin,ALB,P02768,P02768
caffeine,216,aldehyde dehydrogenase 1 family member A1,ALDH1A1,P00352,P00352;V9HW83
caffeine,216,aldehyde dehydrogenase 1 family member A1,ALDH1A1,P00352,P00352;V9HW83
caffeine,216,aldehyde dehydrogenase 1 family member A1,ALDH1A1,P00352,P00352;V9HW83
caffeine,216,aldehyde dehydrogenase 1 family member A1,ALDH1A1,P00352,P00352;V9HW83
caffeine,223,aldehyde dehydrogenase 9 family member A1,ALDH9A1,P49189,P49189
caffeine,223,aldehyde dehydrogenase 9 family member A1,ALDH9A1,P49189,P49189
caffeine,224,aldehyde dehydrogenase 3 family member A2,ALDH3A2,P51648,P51648
caffeine,224,aldehyde dehydrogenase 3 family member A2,ALDH3A2,P51648,P51648
caffeine,226,"aldolase, fructose-bisphosphate A",ALDOA,P04075,P04075;V9HWN7
caffeine,226,"aldolase, fructose-bisphosphate A",ALDOA,P04075,P04075;V9HWN7
caffeine,226,"aldolase, fructose-bisphosphate A",ALDOA,P04075,P04075;V9HWN7
caffeine,226,"aldolase, fructose-bisphosphate A",ALDOA,P04075,P04075;V9HWN7
caffeine,230,"aldolase, fructose-bisphosphate C",ALDOC,P09972,P09972;A0A024QZ64
caffeine,230,"aldolase, fructose-bisphosphate C",ALDOC,P09972,P09972;A0A024QZ64
caffeine,249,"alkaline phosphatase, biomineralization associated",ALPL,P05186,P05186
caffeine,249,"alkaline phosphatase, biomineralization associated",ALPL,P05186,P05186
caffeine,267,autocrine motility factor receptor,AMFR,Q9UKV5,Q9UKV5
caffeine,267,autocrine motility factor receptor,AMFR,Q9UKV5,Q9UKV5
caffeine,271,adenosine monophosphate deaminase 2,AMPD2,Q01433,Q01433
caffeine,271,adenosine monophosphate deaminase 2,AMPD2,Q01433,Q01433
caffeine,283,angiogenin,ANG,P03950,P03950;W0UV28
caffeine,283,angiogenin,ANG,P03950,P03950;W0UV28
caffeine,284,angiopoietin 1,ANGPT1,Q15389,Q15389;B4DTQ9
caffeine,284,angiopoietin 1,ANGPT1,Q15389,Q15389;B4DTQ9
caffeine,285,angiopoietin 2,ANGPT2,O15123,O15123
caffeine,285,angiopoietin 2,ANGPT2,O15123,O15123
caffeine,287,ankyrin 2,ANK2,Q01484,Q01484;A0A5F9ZGS5;A0A5F9ZGY1;A0A5F9ZGZ1;A0A5F9ZH03;A0A5F9ZH10;A0A5F9ZH17;A0A5F9ZH18;A0A5F9ZH34;A0A5F9ZH39;A0A5F9ZH58;A0A5F9ZH70;A0A5F9ZH99;A0A5F9ZHE2;A0A5F9ZHJ4;A0A5F9ZHJ6;A0A5F9ZHL3;A0A5F9ZHL9;A0A5F9ZHN0;A0A5F9ZHQ3;A0A5F9ZHR2;A0A5F9ZHY6;A0A5F9ZI08;A0A5F9ZI16;A0A5F9ZI36;A0A5F9ZI53;A0A5F9ZI56;A0A5F9ZI69;A0A5F9ZI81;E9PCH6;H0Y933
caffeine,287,ankyrin 2,ANK2,Q01484,Q01484;A0A5F9ZGS5;A0A5F9ZGY1;A0A5F9ZGZ1;A0A5F9ZH03;A0A5F9ZH10;A0A5F9ZH17;A0A5F9ZH18;A0A5F9ZH34;A0A5F9ZH39;A0A5F9ZH58;A0A5F9ZH70;A0A5F9ZH99;A0A5F9ZHE2;A0A5F9ZHJ4;A0A5F9ZHJ6;A0A5F9ZHL3;A0A5F9ZHL9;A0A5F9ZHN0;A0A5F9ZHQ3;A0A5F9ZHR2;A0A5F9ZHY6;A0A5F9ZI08;A0A5F9ZI16;A0A5F9ZI36;A0A5F9ZI53;A0A5F9ZI56;A0A5F9ZI69;A0A5F9ZI81;E9PCH6;H0Y933
caffeine,302,annexin A2,ANXA2,P07355,P07355;A0A024R5Z7;H0YL33
caffeine,302,annexin A2,ANXA2,P07355,P07355;A0A024R5Z7;H0YL33
caffeine,307,annexin A4,ANXA4,P09525,P09525;Q6P452
caffeine,307,annexin A4,ANXA4,P09525,P09525;Q6P452
caffeine,307,annexin A4,ANXA4,P09525,P09525;Q6P452
caffeine,307,annexin A4,ANXA4,P09525,P09525;Q6P452
caffeine,311,annexin A11,ANXA11,P50995,P50995;Q5T0G8
caffeine,311,annexin A11,ANXA11,P50995,P50995;Q5T0G8
caffeine,316,aldehyde oxidase 1,AOX1,Q06278,Q06278
caffeine,316,aldehyde oxidase 1,AOX1,Q06278,Q06278
caffeine,324,APC regulator of Wnt signaling pathway,APC,P25054,P25054;R4GMU6
caffeine,324,APC regulator of Wnt signaling pathway,APC,P25054,P25054;R4GMU6
caffeine,327,acylaminoacyl-peptide hydrolase,APEH,P13798,P13798
caffeine,328,apurinic/apyrimidinic endodeoxyribonuclease 1,APEX1,P27695,P27695;Q5TZP7
caffeine,329,baculoviral IAP repeat containing 2,BIRC2,Q13490,Q13490
caffeine,334,amyloid beta precursor like protein 2,APLP2,Q06481,Q06481;A0A140VJE9;B4E3I5
caffeine,334,amyloid beta precursor like protein 2,APLP2,Q06481,Q06481;A0A140VJE9;B4E3I5
caffeine,335,apolipoprotein A1,APOA1,P02647,P02647;A0A024R3E3
caffeine,335,apolipoprotein A1,APOA1,P02647,P02647;A0A024R3E3
caffeine,335,apolipoprotein A1,APOA1,P02647,P02647;A0A024R3E3
caffeine,336,apolipoprotein A2,APOA2,P02652,P02652
caffeine,336,apolipoprotein A2,APOA2,P02652,P02652
caffeine,336,apolipoprotein A2,APOA2,P02652,P02652
caffeine,338,apolipoprotein B,APOB,P04114,P04114;A0AAG2UUW0;Q59HB3;Q7Z7Q0
caffeine,338,apolipoprotein B,APOB,P04114,P04114;A0AAG2UUW0;Q59HB3;Q7Z7Q0
caffeine,338,apolipoprotein B,APOB,P04114,P04114;A0AAG2UUW0;Q59HB3;Q7Z7Q0
caffeine,338,apolipoprotein B,APOB,P04114,P04114;A0AAG2UUW0;Q59HB3;Q7Z7Q0
caffeine,338,apolipoprotein B,APOB,P04114,P04114;A0AAG2UUW0;Q59HB3;Q7Z7Q0
caffeine,338,apolipoprotein B,APOB,P04114,P04114;A0AAG2UUW0;Q59HB3;Q7Z7Q0
caffeine,341,apolipoprotein C1,APOC1,P02654,P02654;K7EPF9
caffeine,341,apolipoprotein C1,APOC1,P02654,P02654;K7EPF9
caffeine,341,apolipoprotein C1,APOC1,P02654,P02654;K7EPF9
caffeine,344,apolipoprotein C2,APOC2,P02655,P02655;A0A024R0T9
caffeine,344,apolipoprotein C2,APOC2,P02655,P02655;A0A024R0T9
caffeine,344,apolipoprotein C2,APOC2,P02655,P02655;A0A024R0T9
